,NeuralAgent_AlwaysDefectAgent,AlwaysDefectAgent
776,0.0,5.0
777,0.0,5.0
778,0.0,5.0
779,0.0,5.0
780,0.0,5.0
781,0.0,5.0
782,0.0,5.0
783,0.005,4.98
784,0.0,5.0
785,0.005,4.98
786,0.0,5.0
787,0.0,5.0
788,0.0,5.0
789,0.0,5.0
790,0.0,5.0
791,0.0,5.0
792,0.0,5.0
793,0.005,4.98
794,0.0,5.0
795,0.0,5.0
796,0.0,5.0
797,0.0,5.0
798,0.0,5.0
799,0.0,5.0
800,0.0,5.0
801,0.0,5.0
802,0.0,5.0
803,0.0,5.0
804,0.005,4.98
805,0.0,5.0
806,0.0,5.0
807,0.0,5.0
808,0.005,4.98
809,0.015,4.94
810,0.0,5.0
811,0.0,5.0
812,0.0,5.0
813,0.0,5.0
814,0.005,4.98
815,0.0,5.0
816,0.0,5.0
817,0.0,5.0
818,0.0,5.0
819,0.005,4.98
820,0.005,4.98
821,0.0,5.0
822,0.0,5.0
823,0.005,4.98
824,0.005,4.98
825,0.0,5.0
826,0.0,5.0
827,0.0,5.0
828,0.0,5.0
829,0.0,5.0
830,0.0,5.0
831,0.005,4.98
832,0.005,4.98
833,0.0,5.0
834,0.0,5.0
835,0.0,5.0
836,0.0,5.0
837,0.0,5.0
838,0.0,5.0
839,0.0,5.0
840,0.0,5.0
841,0.0,5.0
842,0.0,5.0
843,0.0,5.0
844,0.0,5.0
845,0.0,5.0
846,0.0,5.0
847,0.0,5.0
848,0.005,4.98
849,0.0,5.0
850,0.0,5.0
851,0.0,5.0
852,0.0,5.0
853,0.0,5.0
854,0.0,5.0
855,0.0,5.0
856,0.005,4.98
857,0.0,5.0
858,0.0,5.0
859,0.0,5.0
860,0.0,5.0
861,0.0,5.0
862,0.005,4.98
863,0.0,5.0
864,0.0,5.0
865,0.0,5.0
866,0.005,4.98
867,0.0,5.0
868,0.0,5.0
869,0.0,5.0
870,0.005,4.98
871,0.0,5.0
872,0.0,5.0
873,0.0,5.0
874,0.0,5.0
875,0.0,5.0
876,0.0,5.0
877,0.0,5.0
878,0.0,5.0
879,0.0,5.0
880,0.0,5.0
881,0.0,5.0
882,0.0,5.0
883,0.005,4.98
884,0.005,4.98
885,0.01,4.96
886,0.0,5.0
887,0.0,5.0
888,0.0,5.0
889,0.0,5.0
890,0.0,5.0
891,0.0,5.0
892,0.0,5.0
893,0.0,5.0
894,0.0,5.0
895,0.0,5.0
896,0.0,5.0
897,0.0,5.0
898,0.0,5.0
899,0.0,5.0
900,0.0,5.0
901,0.0,5.0
902,0.0,5.0
903,0.0,5.0
904,0.0,5.0
905,0.0,5.0
906,0.0,5.0
907,0.0,5.0
908,0.005,4.98
909,0.0,5.0
910,0.0,5.0
911,0.0,5.0
912,0.0,5.0
913,0.0,5.0
914,0.0,5.0
915,0.0,5.0
916,0.0,5.0
917,0.005,4.98
918,0.0,5.0
919,0.005,4.98
920,0.005,4.98
921,0.0,5.0
922,0.005,4.98
923,0.0,5.0
924,0.0,5.0
925,0.0,5.0
926,0.0,5.0
927,0.0,5.0
928,0.005,4.98
929,0.0,5.0
930,0.0,5.0
931,0.0,5.0
932,0.0,5.0
933,0.0,5.0
934,0.0,5.0
935,0.0,5.0
936,0.0,5.0
937,0.0,5.0
938,0.0,5.0
939,0.0,5.0
940,0.0,5.0
941,0.0,5.0
942,0.0,5.0
943,0.005,4.98
944,0.0,5.0
945,0.0,5.0
946,0.0,5.0
947,0.005,4.98
948,0.0,5.0
949,0.005,4.98
950,0.0,5.0
951,0.0,5.0
952,0.0,5.0
953,0.0,5.0
954,0.0,5.0
955,0.0,5.0
956,0.0,5.0
957,0.0,5.0
958,0.0,5.0
959,0.0,5.0
960,0.0,5.0
961,0.0,5.0
962,0.0,5.0
963,0.0,5.0
964,0.005,4.98
965,0.0,5.0
966,0.0,5.0
967,0.0,5.0
968,0.0,5.0
969,0.0,5.0
970,0.0,5.0
971,0.0,5.0
972,0.005,4.98
973,0.0,5.0
974,0.005,4.98
975,0.0,5.0
976,0.0,5.0
977,0.0,5.0
978,0.0,5.0
979,0.005,4.98
980,0.0,5.0
981,0.0,5.0
982,0.0,5.0
983,0.0,5.0
984,0.0,5.0
985,0.005,4.98
986,0.0,5.0
987,0.005,4.98
988,0.0,5.0
989,0.0,5.0
990,0.0,5.0
991,0.0,5.0
992,0.0,5.0
993,0.0,5.0
994,0.0,5.0
995,0.0,5.0
996,0.0,5.0
997,0.0,5.0
998,0.0,5.0
999,0.0,5.0
