,NeuralAgent_Student5_200cAgent,Student5_200cAgent
501,1.005,1.055
502,0.995,1.095
503,1.0,1.075
504,1.01,1.035
505,1.01,1.035
506,1.005,1.055
507,1.005,1.055
508,1.0,1.075
509,1.005,1.055
510,1.015,1.015
511,0.99,1.115
512,1.005,1.055
513,0.995,1.095
514,1.015,1.015
515,1.015,1.015
516,1.0,1.075
517,1.005,1.055
518,0.99,1.115
519,1.005,1.055
520,1.015,1.015
521,0.995,1.095
522,1.02,0.995
523,1.01,1.035
524,1.015,1.015
525,1.005,1.055
526,0.995,1.095
527,0.975,1.175
528,1.015,1.065
529,0.98,1.155
530,1.005,1.055
531,1.0,1.075
532,1.01,1.035
533,1.005,1.055
534,1.005,1.055
535,0.995,1.095
536,1.015,1.015
537,0.995,1.095
538,1.0,1.075
539,0.985,1.135
540,1.01,1.035
541,0.98,1.155
542,1.0,1.075
543,0.99,1.115
544,0.995,1.095
545,1.015,1.065
546,1.005,1.055
547,1.01,1.035
548,1.005,1.055
549,1.005,1.055
550,0.995,1.095
551,1.005,1.055
552,1.015,1.015
553,1.01,1.035
554,1.015,1.015
555,1.005,1.055
556,1.01,1.035
557,1.01,1.085
558,0.99,1.115
559,1.0,1.075
560,0.985,1.135
561,1.01,1.035
562,1.005,1.055
563,1.0,1.075
564,0.99,1.115
565,1.005,1.055
566,1.005,1.055
567,1.0,1.075
568,1.015,1.015
569,1.02,0.995
570,1.005,1.055
571,1.01,1.035
572,1.02,0.995
573,1.005,1.055
574,1.01,1.035
575,0.985,1.135
576,1.015,1.015
577,1.01,1.035
578,1.01,1.035
579,0.995,1.095
580,1.0,1.075
581,1.005,1.055
582,1.01,1.085
583,1.01,1.035
584,1.01,1.035
585,0.995,1.095
586,1.0,1.075
587,0.995,1.095
588,1.02,0.995
589,1.005,1.055
590,1.0,1.075
591,1.015,1.015
592,1.01,1.035
593,1.0,1.075
594,1.0,1.075
595,1.005,1.055
596,1.005,1.055
597,1.01,1.035
598,1.01,1.035
599,1.005,1.055
600,1.015,1.015
601,1.01,1.035
602,0.99,1.115
603,1.005,1.055
604,1.005,1.055
605,1.015,1.015
606,1.01,1.035
607,1.01,1.035
608,0.995,1.095
609,1.015,1.015
610,1.01,1.035
611,1.005,1.055
612,1.01,1.035
613,1.005,1.055
614,1.005,1.055
615,1.005,1.055
616,1.02,1.045
617,1.01,1.035
618,1.015,1.015
619,1.01,1.035
620,1.015,1.015
621,1.0,1.075
622,0.995,1.095
623,1.005,1.055
624,1.01,1.035
625,1.015,1.015
626,1.0,1.075
627,1.0,1.075
628,1.01,1.035
629,1.02,0.995
630,1.0,1.075
631,1.005,1.055
632,1.01,1.035
633,0.995,1.095
634,1.0,1.075
635,1.005,1.055
636,1.005,1.055
637,1.0,1.075
638,1.005,1.055
639,1.01,1.035
640,1.01,1.035
641,1.005,1.055
642,1.01,1.035
643,0.995,1.095
644,1.01,1.035
645,1.015,1.015
646,0.985,1.135
647,1.0,1.075
648,1.005,1.055
649,1.01,1.035
650,1.005,1.055
651,0.99,1.115
652,1.015,1.015
