,NeuralAgentOpMe_BattleRoyal,AlwaysDefectAgent,RandomChoiceAgent,Student10_200mAgent,Student11_200mAgent,Student13_200aAgent,Student13_200bAgent,Student13_200cAgent,Student13_200mAgent,Student16_200bAgent,Student16_200cAgent,Student17_200aAgent,Student17_200bAgent,Student17_200mAgent,Student19_200aAgent,Student19_200bAgent,Student19_200cAgent,Student19_200mAgent,Student1_200aAgent,Student1_200bAgent,Student1_200cAgent,Student1_200mAgent,Student21_200aAgent,Student21_200cAgent,Student22_200mAgent,Student23_200mAgent,Student24_200bAgent,Student24_200cAgent,Student24_200mAgent,Student26_200bAgent,Student26_200cAgent,Student26_200mAgent,Student2_200aAgent,Student2_200cAgent,Student3_200aAgent,Student3_200bAgent,Student4_200aAgent,Student5_200aAgent,Student5_200bAgent,Student5_200cAgent,Student5_200mAgent,Student7_200aAgent,Student7_200bAgent,Student7_200mAgent,TitF2tatAgent,TitFTatAgent
10,2.069111111111111,2.0565555555555557,1.6914444444444445,1.8675555555555556,1.9022222222222223,1.6715555555555555,1.7936666666666667,1.9987777777777778,2.0303333333333335,1.861888888888889,1.7962222222222222,1.8765555555555555,1.8871111111111112,2.054222222222222,1.8955555555555557,1.6634444444444445,1.5994444444444444,1.6032222222222223,2.1535555555555557,1.8354444444444444,1.8768888888888888,1.8236666666666668,2.0883333333333334,1.8511111111111112,2.0374444444444446,1.8413333333333333,2.0624444444444445,2.059222222222222,1.7077777777777778,2.0354444444444444,2.0694444444444446,2.058222222222222,1.9737777777777779,0.04633333333333333,0.5314444444444445,2.033333333333333,1.5594444444444444,1.7114444444444445,1.6211111111111112,2.098333333333333,1.6216666666666666,2.0055555555555555,2.19,2.1714444444444445,1.9934444444444444,2.0974444444444442
11,2.0756666666666668,2.066,1.7105555555555556,1.8846666666666667,1.8983333333333334,1.6577777777777778,1.7882222222222222,1.9961111111111112,2.0313333333333334,1.855888888888889,1.8064444444444445,1.8773333333333333,1.8952222222222221,2.0674444444444444,1.8956666666666666,1.6592222222222222,1.596111111111111,1.6065555555555555,2.0576666666666665,1.8314444444444444,1.8713333333333333,1.8355555555555556,2.1034444444444444,1.859,2.041888888888889,1.8423333333333334,2.068,2.0477777777777777,1.7064444444444444,2.0376666666666665,2.0723333333333334,2.059,1.9783333333333333,0.046,0.5591111111111111,2.0383333333333336,1.5735555555555556,1.713,1.6094444444444445,2.1052222222222223,1.6728888888888889,2.0073333333333334,2.1475555555555554,2.1163333333333334,1.9894444444444443,2.1037777777777777
12,2.1133333333333333,2.060111111111111,1.6694444444444445,1.8995555555555557,1.8964444444444444,1.6446666666666667,1.7842222222222222,2.0035555555555558,2.0264444444444445,1.858111111111111,1.8086666666666666,1.8837777777777778,1.892,2.0665555555555555,1.8615555555555556,1.655,1.5992222222222223,1.5996666666666666,2.2217777777777776,1.8355555555555556,1.9574444444444445,1.8355555555555556,2.077777777777778,1.8328888888888888,2.040888888888889,1.842111111111111,2.0451111111111113,2.0523333333333333,1.7147777777777777,2.0404444444444443,2.072,2.0597777777777777,2.0563333333333333,0.047,0.5475555555555556,2.0444444444444443,1.5355555555555556,1.721111111111111,1.634,2.1434444444444445,1.629888888888889,2.052,2.155,2.1714444444444445,1.984,2.0957777777777777
13,2.0804444444444443,2.0665555555555555,1.7133333333333334,1.8674444444444445,1.8985555555555556,1.6333333333333333,1.8004444444444445,2.0212222222222223,2.021333333333333,1.846,1.792888888888889,1.8756666666666666,1.8955555555555557,2.0643333333333334,1.895888888888889,1.6512222222222221,1.5972222222222223,1.605,2.0624444444444445,1.8356666666666666,1.875,1.83,2.0913333333333335,1.8425555555555555,2.041,1.838,2.057111111111111,2.0605555555555557,1.7057777777777778,2.0416666666666665,2.072,2.057888888888889,1.9657777777777778,0.046,0.5587777777777778,2.0292222222222223,1.5455555555555556,1.7102222222222223,1.6432222222222221,2.094333333333333,1.6787777777777777,2.0015555555555555,2.140111111111111,2.1234444444444445,1.9707777777777777,2.0936666666666666
14,2.089,2.061,1.6626666666666667,1.8043333333333333,1.8917777777777778,1.6531111111111112,1.783,2.0045555555555556,2.0246666666666666,1.8486666666666667,1.7638888888888888,1.8776666666666666,1.8992222222222221,2.0556666666666668,1.893,1.6437777777777778,1.612111111111111,1.6013333333333333,2.031,1.838111111111111,1.8848888888888888,1.8332222222222223,2.0945555555555555,1.8568888888888888,2.0354444444444444,1.843888888888889,2.0594444444444444,2.0524444444444443,1.7067777777777777,2.0364444444444443,2.0723333333333334,2.057,1.9745555555555556,0.04633333333333333,0.5732222222222222,2.0355555555555553,1.5501111111111112,1.724,1.7015555555555555,2.1438888888888887,1.6693333333333333,2.0083333333333333,2.1173333333333333,2.122,1.987,2.0964444444444443
15,2.1085555555555557,2.056888888888889,1.7293333333333334,1.8312222222222223,1.8988888888888888,1.658,1.8021111111111112,2.0334444444444446,2.027888888888889,1.8482222222222222,1.758,1.872,1.8913333333333333,2.066,1.896111111111111,1.6662222222222223,1.6107777777777779,1.6027777777777779,2.0468888888888888,1.8324444444444445,1.868111111111111,1.8376666666666666,2.0887777777777776,1.8203333333333334,2.033888888888889,1.846111111111111,2.054333333333333,2.0545555555555555,1.7017777777777778,2.035888888888889,2.069888888888889,2.0588888888888888,2.0633333333333335,0.04666666666666667,0.5472222222222223,2.032111111111111,1.5381111111111112,1.7201111111111111,1.63,2.099,1.643888888888889,2.0046666666666666,2.1533333333333333,2.119666666666667,1.9867777777777778,2.094888888888889
16,2.0927777777777776,2.0696666666666665,1.698,1.8837777777777778,1.8927777777777777,1.6536666666666666,1.7956666666666667,2.022777777777778,2.038222222222222,1.8505555555555555,1.7618888888888888,1.8837777777777778,1.8935555555555557,2.0581111111111112,1.8954444444444445,1.6603333333333334,1.6112222222222221,1.605,2.1293333333333333,1.8354444444444444,1.8731111111111112,1.8296666666666668,2.093,1.8594444444444445,2.0367777777777776,1.8385555555555555,2.0615555555555556,2.068888888888889,1.7007777777777777,2.045888888888889,2.074666666666667,2.059222222222222,1.9693333333333334,0.04566666666666667,0.5447777777777778,2.039,1.582,1.7195555555555555,1.644111111111111,2.097111111111111,1.6656666666666666,2.005,2.1885555555555554,2.1643333333333334,2.0052222222222222,2.109111111111111
17,2.054222222222222,2.0704444444444445,1.7004444444444444,1.8646666666666667,1.889,1.6654444444444445,1.8024444444444445,2.0125555555555557,2.035222222222222,1.8528888888888888,1.813,1.8804444444444444,1.896111111111111,2.0574444444444446,1.8975555555555557,1.6665555555555556,1.5971111111111111,1.6052222222222223,2.064888888888889,1.8323333333333334,1.8262222222222222,1.834111111111111,2.0885555555555557,1.833888888888889,2.041888888888889,1.8373333333333333,2.066,2.066666666666667,1.7037777777777778,2.041777777777778,2.0762222222222224,2.0588888888888888,2.0745555555555555,0.046,0.5631111111111111,2.0294444444444446,1.562111111111111,1.714,1.6585555555555556,2.1003333333333334,1.6713333333333333,2.0024444444444445,2.1413333333333333,2.125,1.991,2.0936666666666666
18,2.071111111111111,2.065,1.6777777777777778,1.8488888888888888,1.8883333333333334,1.6502222222222223,1.7893333333333334,2.014111111111111,2.033333333333333,1.8504444444444443,1.763,1.8853333333333333,1.8876666666666666,2.0515555555555554,1.8657777777777778,1.655888888888889,1.6077777777777778,1.6023333333333334,2.051888888888889,1.8391111111111111,1.8495555555555556,1.8392222222222223,2.0673333333333335,1.8322222222222222,2.041888888888889,1.8432222222222223,2.0535555555555556,2.0594444444444444,1.7024444444444444,2.037888888888889,2.0705555555555555,2.0555555555555554,2.071,0.04666666666666667,0.5433333333333333,2.035888888888889,1.5617777777777777,1.7147777777777777,1.6125555555555555,2.107111111111111,1.6625555555555556,2.004888888888889,2.1395555555555554,2.1304444444444446,1.984888888888889,2.1007777777777776
19,2.107111111111111,2.0724444444444443,1.6954444444444445,1.873888888888889,1.9047777777777777,1.6412222222222221,1.7754444444444444,1.9984444444444445,2.0263333333333335,1.8531111111111112,1.8152222222222223,1.8705555555555555,1.889888888888889,2.0646666666666667,1.8964444444444444,1.6412222222222221,1.5986666666666667,1.6067777777777779,2.0456666666666665,1.8402222222222222,1.9034444444444445,1.8328888888888888,2.092888888888889,1.8232222222222223,2.039111111111111,1.8413333333333333,2.063222222222222,2.058222222222222,1.711111111111111,2.0383333333333336,2.0723333333333334,2.0595555555555554,2.056111111111111,0.046,0.5648888888888889,2.037,1.5653333333333332,1.7107777777777777,1.6567777777777777,2.103666666666667,1.6697777777777778,2.01,2.1457777777777776,2.119666666666667,2.000111111111111,2.0984444444444446
