,NeuralAgent_TitF2tatAgent_rng,TitF2tatAgent
718,1.345,1.07
719,1.425,1.1
720,1.315,1.065
721,1.26,1.06
722,1.415,1.115
723,1.355,1.08
724,1.295,1.07
725,1.25,1.05
726,1.28,1.055
727,1.29,1.065
728,1.355,1.08
729,1.355,1.08
730,1.145,1.02
731,1.32,1.07
732,1.315,1.065
733,1.395,1.095
734,1.385,1.085
735,1.295,1.07
736,1.14,1.015
737,1.44,1.115
738,1.31,1.085
739,1.4,1.125
740,1.245,1.07
741,1.215,1.04
742,1.33,1.08
743,1.35,1.075
744,1.39,1.09
745,1.18,1.03
746,1.21,1.035
747,1.36,1.085
748,1.28,1.055
749,1.315,1.065
750,1.245,1.045
751,1.285,1.06
752,1.195,1.045
753,1.46,1.11
754,1.285,1.06
755,1.215,1.04
756,1.355,1.08
757,1.355,1.08
758,1.39,1.09
759,1.075,1.0
760,1.38,1.08
761,1.245,1.045
762,1.215,1.04
763,1.145,1.02
764,1.25,1.05
765,1.215,1.04
766,1.245,1.045
767,1.215,1.04
768,1.395,1.095
769,1.3,1.075
770,1.35,1.075
771,1.25,1.05
772,1.28,1.055
773,1.175,1.025
774,1.225,1.05
775,1.21,1.035
776,1.32,1.07
777,1.35,1.075
778,1.245,1.045
779,1.295,1.07
780,1.36,1.085
781,1.28,1.055
782,1.37,1.095
783,1.215,1.04
784,1.11,1.01
785,1.32,1.07
786,1.145,1.02
787,1.215,1.04
788,1.36,1.085
789,1.215,1.04
790,1.33,1.08
791,1.25,1.05
792,1.18,1.03
793,1.355,1.08
794,1.215,1.04
795,1.28,1.055
796,1.225,1.05
797,1.32,1.07
798,1.245,1.045
799,1.31,1.06
800,1.28,1.055
801,1.285,1.06
802,1.22,1.045
803,1.38,1.08
804,1.175,1.025
805,1.245,1.045
806,1.27,1.045
807,1.465,1.115
808,1.175,1.025
809,1.26,1.06
810,1.175,1.025
811,1.245,1.045
812,1.175,1.025
813,1.19,1.04
814,1.19,1.04
815,1.14,1.015
816,1.21,1.035
817,1.25,1.05
818,1.255,1.08
819,1.35,1.075
820,1.155,1.03
821,1.18,1.03
822,1.285,1.06
823,1.25,1.05
824,1.145,1.02
825,1.325,1.075
826,1.11,1.01
827,1.215,1.04
828,1.25,1.05
829,1.295,1.07
830,1.215,1.04
831,1.18,1.03
832,1.245,1.045
833,1.31,1.085
834,1.145,1.02
835,1.18,1.03
836,1.18,1.03
837,1.11,1.01
838,1.145,1.02
839,1.32,1.07
840,1.33,1.08
841,1.22,1.045
842,1.18,1.03
843,1.145,1.02
844,1.285,1.06
845,1.215,1.04
846,1.32,1.07
847,1.18,1.03
848,1.3,1.075
849,1.18,1.03
850,1.28,1.055
851,1.18,1.03
852,1.215,1.04
853,1.18,1.03
854,1.18,1.03
855,1.25,1.05
856,1.145,1.02
857,1.11,1.01
858,1.25,1.05
859,1.245,1.045
860,1.215,1.04
861,1.215,1.04
862,1.26,1.06
863,1.245,1.045
864,1.11,1.01
865,1.11,1.01
866,1.215,1.04
867,1.145,1.02
868,1.145,1.02
869,1.18,1.03
870,1.18,1.03
871,1.27,1.07
872,1.145,1.02
873,1.155,1.03
874,1.315,1.065
875,1.285,1.06
876,1.25,1.05
877,1.11,1.01
878,1.25,1.05
879,1.28,1.055
880,1.295,1.07
881,1.14,1.04
882,1.25,1.05
883,1.18,1.03
884,1.04,0.99
885,1.28,1.055
886,1.145,1.02
887,1.25,1.05
888,1.215,1.04
889,1.22,1.045
890,1.25,1.05
891,1.14,1.015
892,1.075,1.0
893,1.04,0.99
894,1.18,1.03
895,1.18,1.03
896,1.21,1.035
897,1.225,1.05
898,1.18,1.03
899,1.215,1.04
900,1.145,1.02
901,1.245,1.07
902,1.215,1.04
903,1.145,1.02
904,1.19,1.04
905,1.075,1.0
906,1.215,1.04
907,1.09,1.015
908,1.215,1.04
909,1.18,1.03
910,1.075,1.0
911,1.28,1.055
912,1.18,1.03
913,1.21,1.035
914,1.26,1.06
915,1.145,1.02
916,1.145,1.02
917,1.25,1.05
918,1.21,1.035
919,1.25,1.05
920,1.285,1.06
921,1.11,1.01
922,1.25,1.05
923,1.225,1.05
924,1.175,1.025
925,1.28,1.055
926,1.075,1.0
927,1.145,1.02
928,1.175,1.025
929,1.215,1.04
930,1.215,1.04
931,1.215,1.04
932,1.11,1.01
933,1.25,1.05
934,1.175,1.025
935,1.19,1.04
936,1.11,1.01
937,1.25,1.05
938,1.21,1.06
939,1.14,1.04
940,1.145,1.02
941,1.18,1.03
942,1.145,1.02
943,1.145,1.02
944,1.11,1.01
945,1.11,1.01
946,1.145,1.02
947,1.25,1.05
948,1.285,1.06
949,1.075,1.0
950,1.11,1.01
951,1.25,1.05
952,1.105,1.03
953,1.195,1.045
954,1.225,1.05
955,1.25,1.05
956,1.19,1.04
957,1.145,1.02
958,1.18,1.03
959,1.225,1.05
960,1.11,1.01
961,1.145,1.02
962,1.175,1.025
963,1.145,1.02
964,1.245,1.045
965,1.21,1.035
966,1.145,1.02
967,1.17,1.045
968,1.075,1.0
969,1.18,1.03
970,1.18,1.03
971,1.105,1.03
972,1.075,1.0
973,1.28,1.055
974,1.11,1.01
975,1.275,1.05
976,1.04,0.99
977,1.155,1.03
978,1.11,1.01
979,1.145,1.02
980,1.11,1.01
981,1.11,1.01
982,1.145,1.02
983,1.04,0.99
984,1.075,1.0
985,1.145,1.02
986,1.245,1.045
987,1.14,1.04
988,1.12,1.02
989,1.105,1.005
990,1.215,1.04
991,1.145,1.02
992,1.11,1.01
993,1.31,1.06
994,1.075,1.0
995,1.04,0.99
996,1.145,1.02
997,1.075,1.0
998,1.145,1.02
999,1.11,1.01
