,NeuralAgent_Student26_200mAgent,Student26_200mAgent
424,2.225,2.2
425,2.345,2.27
426,2.32,2.17
427,2.22,2.22
428,2.205,2.18
429,2.185,2.135
430,2.325,2.275
431,2.17,2.145
432,2.29,2.165
433,2.25,2.175
434,2.255,2.23
435,2.305,2.305
436,2.135,2.135
437,2.27,2.245
438,2.275,2.25
439,2.34,2.29
440,2.27,2.245
441,2.245,2.145
442,2.145,2.145
443,2.295,2.27
444,2.395,2.37
445,2.22,2.22
446,2.175,2.1
447,2.265,2.24
448,2.23,2.23
449,2.235,2.21
450,2.315,2.265
451,2.43,2.305
452,2.165,2.165
453,2.265,2.24
454,2.32,2.295
455,2.24,2.19
456,2.295,2.245
457,2.315,2.14
458,2.19,2.165
459,2.225,2.2
460,2.36,2.335
461,2.155,2.155
462,2.295,2.27
463,2.3,2.225
464,2.305,2.305
465,2.17,2.095
466,2.175,2.15
467,2.185,2.16
468,2.28,2.255
469,2.32,2.27
470,2.32,2.27
471,2.31,2.285
472,2.24,2.215
473,2.22,2.12
474,2.225,2.2
475,2.385,2.385
476,2.34,2.34
477,2.395,2.32
478,2.22,2.17
479,2.21,2.185
480,2.26,2.185
481,2.2,2.2
482,2.265,2.24
483,2.23,2.155
484,2.29,2.29
485,2.27,2.195
486,2.36,2.21
487,2.3,2.3
488,2.26,2.235
489,2.14,2.115
490,2.41,2.36
491,2.375,2.35
492,2.335,2.31
493,2.33,2.33
494,2.385,2.36
495,2.29,2.29
496,2.455,2.43
497,2.335,2.26
498,2.355,2.305
499,2.235,2.235
500,2.405,2.355
501,2.275,2.275
502,2.325,2.275
503,2.23,2.155
504,2.295,2.295
505,2.215,2.19
506,2.3,2.25
507,2.195,2.145
508,2.28,2.28
509,2.2,2.15
510,2.33,2.305
511,2.41,2.385
512,2.305,2.23
513,2.395,2.32
514,2.36,2.235
515,2.295,2.245
516,2.205,2.205
517,2.18,2.155
518,2.165,2.115
519,2.28,2.255
520,2.105,2.08
521,2.24,2.215
522,2.34,2.29
523,2.32,2.27
524,2.21,2.185
525,2.325,2.2
526,2.315,2.29
527,2.245,2.195
528,2.26,2.21
529,2.33,2.305
530,2.23,2.205
531,2.315,2.315
532,2.35,2.325
533,2.33,2.255
534,2.335,2.26
535,2.165,2.14
536,2.35,2.35
537,2.275,2.25
538,2.27,2.245
539,2.36,2.21
540,2.35,2.2
541,2.305,2.305
542,2.265,2.24
543,2.3,2.175
544,2.305,2.28
545,2.335,2.26
546,2.255,2.205
547,2.27,2.27
548,2.235,2.21
549,2.1,2.1
550,2.14,2.09
551,2.335,2.31
552,2.315,2.265
553,2.26,2.26
554,2.31,2.285
555,2.21,2.21
556,2.24,2.14
557,2.175,2.15
558,2.3,2.15
559,2.245,2.195
560,2.33,2.305
561,2.33,2.305
562,2.38,2.38
563,2.425,2.425
564,2.295,2.195
565,2.4,2.275
566,2.285,2.26
567,2.185,2.135
568,2.27,2.27
569,2.255,2.205
570,2.27,2.245
571,2.28,2.18
572,2.205,2.205
573,2.205,2.205
574,2.285,2.26
575,2.18,2.155
576,2.39,2.39
577,2.365,2.315
578,2.21,2.185
579,2.23,2.13
580,2.225,2.2
581,2.28,2.255
582,2.275,2.25
583,2.325,2.325
584,2.25,2.225
585,2.21,2.16
586,2.325,2.3
587,2.45,2.425
588,2.21,2.21
589,2.35,2.325
590,2.19,2.19
591,2.24,2.215
592,2.32,2.295
593,2.33,2.28
594,2.2,2.125
595,2.36,2.335
596,2.25,2.2
597,2.18,2.155
598,2.32,2.32
599,2.185,2.185
600,2.25,2.225
601,2.22,2.195
602,2.275,2.25
603,2.28,2.105
604,2.22,2.195
605,2.34,2.265
606,2.23,2.18
607,2.355,2.28
608,2.255,2.205
609,2.27,2.245
610,2.285,2.285
611,2.235,2.185
612,2.33,2.33
613,2.205,2.18
614,2.19,2.165
615,2.32,2.27
616,2.295,2.195
617,2.325,2.325
618,2.24,2.115
619,2.245,2.245
620,2.29,2.265
621,2.14,2.115
622,2.235,2.235
623,2.345,2.17
624,2.37,2.345
625,2.29,2.29
626,2.28,2.255
627,2.35,2.325
628,2.33,2.28
629,2.36,2.335
630,2.39,2.365
631,2.375,2.325
632,2.175,1.975
633,2.26,2.21
634,2.32,2.295
635,2.39,2.34
636,2.19,2.165
637,2.205,2.18
638,2.275,2.25
639,2.395,2.37
640,2.34,2.265
641,2.365,2.34
642,2.19,2.19
643,2.385,2.36
644,2.235,2.235
645,2.115,2.115
646,2.31,2.26
647,2.235,2.21
648,2.28,2.28
649,2.25,2.2
650,2.325,2.25
651,2.275,2.275
652,2.26,2.26
653,2.205,2.18
654,2.295,2.27
655,2.275,2.25
656,2.27,2.27
657,2.335,2.31
658,2.21,2.21
659,2.195,2.195
660,2.375,2.325
661,2.165,2.165
662,2.23,2.205
663,2.315,2.29
664,2.355,2.355
665,2.375,2.325
666,2.34,2.315
667,2.26,2.235
668,2.07,2.045
669,2.31,2.26
670,2.28,2.155
671,2.315,2.29
672,2.3,2.275
673,2.375,2.325
674,2.36,2.31
675,2.17,2.145
676,2.265,2.265
677,2.285,2.285
678,2.28,2.255
679,2.16,2.16
680,2.31,2.285
681,2.325,2.3
682,2.125,2.125
683,2.19,2.165
684,2.315,2.29
685,2.1,2.075
686,2.27,2.27
687,2.245,2.22
688,2.2,2.2
689,2.345,2.245
690,2.365,2.24
691,2.215,2.215
692,2.23,2.205
693,2.335,2.31
694,2.27,2.145
695,2.2,2.175
696,2.305,2.255
697,2.25,2.25
698,2.3,2.225
699,2.295,2.27
700,2.29,2.24
701,2.36,2.335
702,2.29,2.215
703,2.18,2.18
704,2.33,2.305
705,2.275,2.275
706,2.24,2.24
707,2.255,2.255
708,2.295,2.27
709,2.26,2.26
710,2.205,2.205
711,2.34,2.315
712,2.31,2.21
713,2.26,2.235
714,2.25,2.25
715,2.17,2.145
716,2.065,1.99
717,2.22,2.195
718,2.24,2.24
719,2.225,2.125
720,2.335,2.31
721,2.175,2.175
722,2.34,2.315
723,2.19,2.115
724,2.16,2.16
725,2.295,2.295
726,2.19,2.165
727,2.335,2.285
728,2.29,2.265
729,2.235,2.21
730,2.3,2.2
731,2.29,2.265
732,2.29,2.29
733,2.35,2.35
734,2.27,2.27
735,2.475,2.375
736,2.17,2.12
737,2.3,2.25
738,2.315,2.315
739,2.35,2.25
740,2.245,2.22
741,2.24,2.24
742,2.265,2.24
743,2.42,2.295
744,2.185,2.11
745,2.285,2.26
746,2.17,2.145
747,2.415,2.39
748,2.33,2.305
749,2.335,2.31
750,2.2,2.175
751,2.17,2.17
752,2.21,2.185
753,2.27,2.27
754,2.45,2.3
755,2.205,2.155
756,2.165,2.09
757,2.335,2.285
758,2.22,2.145
759,2.22,2.195
760,2.235,2.185
761,2.345,2.27
762,2.16,2.135
763,2.205,2.13
764,2.37,2.345
765,2.225,2.2
766,2.43,2.355
767,2.26,2.235
768,2.24,2.215
769,2.285,2.035
770,2.2,2.175
771,2.345,2.345
772,2.43,2.43
773,2.165,2.14
774,2.18,2.18
775,2.305,2.18
776,2.185,2.16
777,2.165,2.04
778,2.32,2.27
779,2.21,2.185
780,2.22,2.145
781,2.235,2.235
782,2.295,2.245
783,2.365,2.265
784,2.29,2.165
785,2.415,2.19
786,2.305,2.28
787,2.35,2.35
788,2.31,2.285
789,2.325,2.3
790,2.29,2.24
791,2.27,2.245
792,2.405,2.38
793,2.24,2.215
794,2.285,2.235
795,2.4,2.275
796,2.205,2.18
797,2.26,2.235
798,2.235,2.21
799,2.335,2.285
800,2.225,2.175
801,2.25,2.225
802,2.15,2.1
803,2.245,2.195
804,2.38,2.33
805,2.16,2.16
806,2.28,2.205
807,2.25,2.2
808,2.3,2.225
809,2.375,2.35
810,2.295,2.22
811,2.43,2.33
812,2.335,2.11
813,2.32,2.22
814,2.305,2.28
815,2.215,2.14
816,2.39,2.34
817,2.3,2.275
818,2.25,2.225
819,2.28,2.18
820,2.36,2.36
821,2.215,2.215
822,2.32,2.295
823,2.14,2.115
824,2.235,2.21
825,2.31,2.26
826,2.325,2.25
827,2.275,2.25
828,2.095,2.07
829,2.3,2.275
830,2.32,2.27
831,2.305,2.23
832,2.21,2.185
833,2.315,2.29
834,2.345,2.295
835,2.185,2.135
836,2.275,2.275
837,2.24,2.24
838,2.31,2.26
839,2.285,2.26
840,2.36,2.335
841,2.25,2.225
842,2.075,2.075
843,2.315,2.265
844,2.3,2.225
845,2.335,2.235
846,2.31,2.31
847,2.35,2.325
