,NeuralAgent_Student17_200bAgent_rng,Student17_200bAgent
433,0.22,4.42
434,0.21,4.435
435,0.185,4.56
436,0.21,4.46
437,0.185,4.535
438,0.255,4.305
439,0.195,4.52
440,0.19,4.54
441,0.205,4.455
442,0.165,4.615
443,0.16,4.635
444,0.205,4.455
445,0.145,4.67
446,0.225,4.375
447,0.18,4.53
448,0.215,4.465
449,0.17,4.595
450,0.195,4.52
451,0.165,4.59
452,0.175,4.6
453,0.205,4.455
454,0.2,4.45
455,0.17,4.57
456,0.19,4.49
457,0.195,4.52
458,0.195,4.545
459,0.14,4.69
460,0.185,4.535
461,0.19,4.54
462,0.165,4.615
463,0.235,4.36
464,0.165,4.64
465,0.16,4.61
466,0.165,4.59
467,0.18,4.555
468,0.175,4.575
469,0.205,4.43
470,0.165,4.615
471,0.155,4.63
472,0.205,4.43
473,0.155,4.68
474,0.19,4.54
475,0.145,4.695
476,0.205,4.48
477,0.16,4.635
478,0.195,4.52
479,0.165,4.615
480,0.165,4.615
481,0.17,4.595
482,0.145,4.695
483,0.135,4.71
484,0.13,4.755
485,0.17,4.57
486,0.145,4.67
487,0.165,4.615
488,0.165,4.665
489,0.14,4.715
490,0.18,4.555
491,0.17,4.595
492,0.145,4.695
493,0.125,4.75
494,0.145,4.72
495,0.175,4.575
496,0.155,4.655
497,0.12,4.77
498,0.155,4.63
499,0.165,4.615
500,0.13,4.73
501,0.13,4.73
502,0.14,4.69
503,0.17,4.595
504,0.155,4.63
505,0.15,4.7
506,0.135,4.71
507,0.155,4.63
508,0.125,4.8
509,0.145,4.695
510,0.15,4.675
511,0.16,4.61
512,0.16,4.635
513,0.18,4.605
514,0.13,4.78
515,0.195,4.495
516,0.135,4.735
517,0.175,4.6
518,0.155,4.655
519,0.16,4.61
520,0.13,4.73
521,0.2,4.525
522,0.145,4.67
523,0.145,4.72
524,0.105,4.83
525,0.125,4.775
526,0.17,4.595
527,0.14,4.715
528,0.14,4.69
529,0.135,4.735
530,0.115,4.79
531,0.125,4.775
532,0.18,4.58
533,0.13,4.78
534,0.115,4.815
535,0.15,4.7
536,0.15,4.675
537,0.14,4.69
538,0.145,4.67
539,0.125,4.8
540,0.14,4.69
