,NeuralAgent_TitFTatAgent_rng,TitFTatAgent
676,1.04,0.99
677,1.04,0.99
678,1.04,0.99
679,1.04,0.99
680,1.04,0.99
681,1.04,0.99
682,1.04,0.99
683,1.04,0.99
684,1.04,0.99
685,1.04,0.99
686,1.04,0.99
687,1.04,0.99
688,1.04,0.99
689,1.04,0.99
690,1.04,0.99
691,1.04,0.99
692,1.04,0.99
693,1.04,0.99
694,1.04,0.99
695,1.04,0.99
696,1.04,0.99
697,1.04,0.99
698,1.04,0.99
699,1.04,0.99
700,1.04,0.99
701,1.04,0.99
702,1.04,0.99
703,1.04,0.99
704,1.04,0.99
705,1.04,0.99
706,1.04,0.99
707,1.04,0.99
708,1.04,0.99
709,1.04,0.99
710,1.04,0.99
711,1.04,0.99
712,1.04,0.99
713,1.04,0.99
714,1.04,0.99
715,1.04,0.99
716,1.04,0.99
717,1.04,0.99
718,1.04,0.99
719,1.04,0.99
720,1.04,0.99
721,1.04,0.99
722,1.04,0.99
723,1.04,0.99
724,1.04,0.99
725,1.04,0.99
726,1.04,0.99
727,1.04,0.99
728,1.04,0.99
729,1.04,0.99
730,1.04,0.99
731,1.04,0.99
732,1.04,0.99
733,1.04,0.99
734,1.04,0.99
735,1.04,0.99
736,1.04,0.99
737,1.04,0.99
738,1.04,0.99
739,1.04,0.99
740,1.04,0.99
741,1.04,0.99
742,1.04,0.99
743,1.04,0.99
744,1.04,0.99
745,1.04,0.99
746,1.04,0.99
747,1.04,0.99
748,1.04,0.99
749,1.04,0.99
750,1.04,0.99
751,1.04,0.99
752,1.04,0.99
753,1.04,0.99
754,1.04,0.99
755,1.04,0.99
756,1.04,0.99
757,1.04,0.99
758,1.04,0.99
759,1.04,0.99
760,1.04,0.99
761,1.04,0.99
762,1.04,0.99
763,1.04,0.99
764,1.04,0.99
765,1.04,0.99
766,1.04,0.99
767,1.04,0.99
768,1.04,0.99
769,1.04,0.99
770,1.04,0.99
771,1.04,0.99
772,1.04,0.99
773,1.04,0.99
774,1.04,0.99
775,1.04,0.99
776,1.04,0.99
777,1.04,0.99
778,1.04,0.99
779,1.04,0.99
780,1.04,0.99
781,1.04,0.99
782,1.04,0.99
783,1.04,0.99
784,1.04,0.99
785,1.04,0.99
786,1.04,0.99
787,1.04,0.99
788,1.04,0.99
789,1.04,0.99
790,1.04,0.99
791,1.04,0.99
792,1.04,0.99
793,1.04,0.99
794,1.04,0.99
795,1.04,0.99
796,1.04,0.99
797,1.04,0.99
798,1.04,0.99
799,1.04,0.99
800,1.04,0.99
801,1.04,0.99
802,1.04,0.99
803,1.04,0.99
804,1.04,0.99
805,1.04,0.99
806,1.04,0.99
807,1.04,0.99
808,1.04,0.99
809,1.04,0.99
810,1.04,0.99
811,1.04,0.99
812,1.04,0.99
813,1.04,0.99
814,1.04,0.99
815,1.04,0.99
816,1.03,1.005
817,1.04,0.99
818,1.04,0.99
819,1.04,0.99
820,1.04,0.99
821,1.04,0.99
822,1.04,0.99
823,1.04,0.99
824,1.04,0.99
825,1.04,0.99
826,1.04,0.99
827,1.04,0.99
828,1.04,0.99
829,1.04,0.99
830,1.04,0.99
831,1.04,0.99
832,1.04,0.99
833,1.04,0.99
834,1.04,0.99
835,1.04,0.99
836,1.04,0.99
837,1.04,0.99
838,1.04,0.99
839,1.04,0.99
840,1.04,0.99
841,1.04,0.99
842,1.04,0.99
843,1.04,0.99
844,1.04,0.99
845,1.04,0.99
846,1.04,0.99
847,1.04,0.99
848,1.04,0.99
849,1.04,0.99
850,1.04,0.99
851,1.04,0.99
852,1.04,0.99
853,1.04,0.99
854,1.04,0.99
855,1.04,0.99
856,1.04,0.99
857,1.04,0.99
858,1.04,0.99
859,1.04,0.99
860,1.04,0.99
861,1.04,0.99
862,1.04,0.99
863,1.04,0.99
864,1.04,0.99
865,1.04,0.99
866,1.04,0.99
867,1.04,0.99
868,1.04,0.99
869,1.04,0.99
870,1.04,0.99
871,1.04,0.99
872,1.04,0.99
873,1.04,0.99
874,1.04,0.99
875,1.04,0.99
876,1.04,0.99
877,1.04,0.99
878,1.04,0.99
879,1.04,0.99
880,1.04,0.99
881,1.04,0.99
882,1.04,0.99
883,1.04,0.99
884,1.04,0.99
885,1.04,0.99
886,1.04,0.99
887,1.04,0.99
888,1.04,0.99
889,1.04,0.99
890,1.04,0.99
891,1.04,0.99
892,1.04,0.99
893,1.04,0.99
894,1.04,0.99
895,1.04,0.99
896,1.04,0.99
897,1.04,0.99
898,1.04,0.99
899,1.04,0.99
900,1.04,0.99
901,1.04,0.99
902,1.04,0.99
903,1.04,0.99
904,1.04,0.99
905,1.04,0.99
906,1.04,0.99
907,1.04,0.99
908,1.04,0.99
909,1.04,0.99
910,1.04,0.99
911,1.04,0.99
912,1.04,0.99
913,1.04,0.99
914,1.04,0.99
915,1.04,0.99
916,1.04,0.99
917,1.04,0.99
918,1.04,0.99
919,1.04,0.99
920,1.04,0.99
921,1.04,0.99
922,1.04,0.99
923,1.04,0.99
924,1.04,0.99
925,1.04,0.99
926,1.04,0.99
927,1.04,0.99
928,1.04,0.99
929,1.04,0.99
930,1.04,0.99
931,1.04,0.99
932,1.04,0.99
933,1.04,0.99
934,1.04,0.99
935,1.04,0.99
936,1.04,0.99
937,1.04,0.99
938,1.04,0.99
939,1.04,0.99
940,1.04,0.99
941,1.04,0.99
942,1.04,0.99
943,1.04,0.99
944,1.04,0.99
945,1.04,0.99
946,1.04,0.99
947,1.04,0.99
948,1.04,0.99
949,1.04,0.99
950,1.04,0.99
951,1.04,0.99
952,1.04,0.99
953,1.04,0.99
954,1.04,0.99
955,1.04,0.99
956,1.04,0.99
957,1.04,0.99
958,1.04,0.99
959,1.04,0.99
960,1.04,0.99
961,1.04,0.99
962,1.04,0.99
963,1.04,0.99
964,1.04,0.99
965,1.04,0.99
966,1.04,0.99
967,1.04,0.99
968,1.04,0.99
969,1.04,0.99
970,1.04,0.99
971,1.04,0.99
972,1.04,0.99
973,1.04,0.99
974,1.04,0.99
975,1.04,0.99
976,1.04,0.99
