,NeuralAgent_Student16_200bAgent,Student16_200bAgent
936,3.005,2.98
937,3.015,2.965
938,2.985,3.01
939,3.025,2.95
940,2.995,2.995
941,3.025,2.95
942,3.015,2.965
943,2.995,2.995
944,3.015,2.965
945,3.015,2.965
946,3.005,2.98
947,3.025,2.95
948,3.025,2.95
949,3.015,2.965
950,3.005,2.98
951,2.995,2.995
952,3.005,2.98
953,3.005,2.98
954,3.015,2.965
955,3.015,2.965
956,3.015,2.965
957,3.015,2.965
958,3.015,2.965
959,3.015,2.965
960,3.015,2.965
961,3.015,2.965
962,3.005,2.98
963,2.995,2.995
964,2.985,3.01
965,3.015,2.965
966,3.025,2.95
967,3.035,2.935
968,3.005,2.98
969,3.005,2.98
970,3.015,2.965
971,3.005,2.98
972,3.005,2.98
973,3.005,2.98
974,3.005,2.98
975,3.025,2.95
976,3.005,2.98
977,3.015,2.965
978,3.015,2.965
979,3.025,2.95
980,3.025,2.95
981,3.045,2.92
982,3.025,2.95
983,3.005,2.98
984,3.025,2.95
985,3.005,2.98
986,3.025,2.95
987,3.025,2.95
988,2.995,2.995
989,3.025,2.95
990,2.995,2.995
991,3.025,2.95
992,3.015,2.965
993,3.015,2.965
994,3.025,2.95
995,2.985,3.01
996,3.015,2.965
997,3.025,2.95
998,3.025,2.95
999,3.035,2.935
