,NeuralAgent_Student22_200mAgent_rng,Student22_200mAgent
721,2.36,2.26
722,2.29,2.19
723,2.275,2.175
724,2.155,2.03
725,2.245,2.12
726,2.36,2.26
727,2.315,2.19
728,2.3,2.2
729,2.415,2.29
730,2.425,2.3
731,2.35,2.225
732,2.335,2.21
733,2.35,2.25
734,2.215,2.09
735,2.41,2.31
736,2.4,2.3
737,2.275,2.15
738,2.365,2.24
739,2.4,2.275
740,2.47,2.345
741,2.27,2.17
742,2.235,2.11
743,2.425,2.325
744,2.22,2.095
745,2.25,2.125
746,2.36,2.26
747,2.27,2.17
748,2.32,2.22
749,2.27,2.17
750,2.32,2.22
751,2.31,2.21
752,2.395,2.27
753,2.265,2.14
754,2.235,2.11
755,2.22,2.095
756,2.355,2.255
757,2.37,2.245
758,2.3,2.175
759,2.365,2.265
760,2.39,2.265
761,2.26,2.16
762,2.11,2.01
763,2.26,2.135
764,2.32,2.22
765,2.295,2.17
766,2.335,2.21
767,2.35,2.225
768,2.33,2.205
769,2.44,2.315
770,2.245,2.145
771,2.32,2.22
772,2.32,2.195
773,2.185,2.085
774,2.38,2.28
775,2.435,2.335
776,2.31,2.185
777,2.31,2.21
778,2.34,2.24
779,2.3,2.175
780,2.305,2.18
781,2.45,2.325
782,2.295,2.17
783,2.4,2.275
784,2.34,2.24
785,2.445,2.345
786,2.395,2.27
787,2.325,2.225
788,2.295,2.17
789,2.29,2.165
790,2.4,2.275
791,2.36,2.26
792,2.32,2.195
793,2.25,2.125
794,2.325,2.2
795,2.285,2.185
796,2.35,2.225
797,2.255,2.155
798,2.335,2.235
799,2.235,2.135
800,2.335,2.235
801,2.37,2.27
802,2.4,2.275
803,2.34,2.215
804,2.4,2.275
805,2.34,2.24
806,2.315,2.215
807,2.33,2.205
808,2.3,2.175
809,2.37,2.27
810,2.5,2.375
811,2.335,2.21
812,2.29,2.19
813,2.34,2.24
814,2.41,2.285
815,2.35,2.25
816,2.43,2.305
817,2.265,2.14
818,2.25,2.125
819,2.37,2.245
820,2.29,2.19
821,2.21,2.085
822,2.3,2.175
823,2.29,2.165
824,2.29,2.165
825,2.315,2.19
826,2.36,2.235
827,2.345,2.22
828,2.375,2.275
829,2.43,2.33
830,2.205,2.08
831,2.49,2.39
832,2.33,2.205
833,2.41,2.31
834,2.3,2.175
835,2.465,2.34
836,2.32,2.22
837,2.395,2.295
838,2.455,2.355
839,2.4,2.3
840,2.25,2.15
841,2.365,2.265
842,2.27,2.17
843,2.27,2.145
844,2.415,2.29
845,2.355,2.255
846,2.325,2.2
847,2.315,2.19
848,2.295,2.195
849,2.285,2.16
850,2.38,2.255
851,2.32,2.22
852,2.315,2.215
