,NeuralAgent_Student1_200aAgent,Student1_200aAgent
430,1.135,3.685
431,1.025,3.775
432,1.275,3.55
433,1.075,3.65
434,1.395,3.495
435,1.055,3.655
436,1.075,3.675
437,1.465,3.54
438,1.315,3.64
439,1.63,3.505
440,1.74,3.39
441,1.19,3.69
442,1.31,3.61
443,1.27,3.595
444,1.435,3.56
445,1.26,3.66
446,1.045,3.67
447,1.35,3.55
448,1.145,3.545
449,1.07,3.77
450,1.3,3.45
451,1.18,3.655
452,1.14,3.565
453,1.15,3.5
454,1.685,3.41
455,1.04,3.765
456,1.28,3.555
457,1.255,3.63
458,1.23,3.555
459,1.22,3.795
460,1.485,3.535
461,1.475,3.55
462,1.33,3.555
463,1.655,3.48
464,1.03,3.68
465,1.475,3.525
466,2.195,3.27
467,1.27,3.695
468,1.63,3.455
469,1.32,3.57
470,1.535,3.46
471,1.89,3.39
472,1.76,3.435
473,1.5,3.4
474,1.155,3.755
475,1.05,3.675
476,1.035,3.685
477,1.59,3.49
478,0.99,3.865
479,1.125,3.625
480,1.57,3.495
481,1.725,3.375
482,1.635,3.36
483,1.28,3.58
484,1.31,3.56
485,1.245,3.67
486,1.85,3.3
487,1.0,3.7
488,1.015,3.765
489,1.055,3.63
490,1.07,3.595
491,1.01,3.76
492,1.34,3.49
493,1.71,3.36
494,1.08,3.605
495,1.3,3.525
496,1.19,3.665
497,1.24,3.69
498,1.61,3.46
499,0.985,3.66
500,1.405,3.655
501,1.305,3.555
502,1.19,3.69
503,1.025,3.7
504,1.2,3.575
505,1.06,3.71
506,1.44,3.59
507,1.27,3.545
508,1.14,3.615
509,1.6,3.475
510,1.115,3.64
511,1.25,3.65
512,1.295,3.52
513,1.01,3.61
514,1.49,3.515
515,0.995,3.77
516,1.135,3.66
517,1.665,3.465
518,1.03,3.755
519,1.225,3.65
520,1.26,3.585
521,1.065,3.89
522,1.705,3.455
523,1.23,3.605
524,1.155,3.73
525,1.9,3.375
526,1.085,3.635
527,1.17,3.72
528,1.72,3.345
529,1.195,3.52
530,1.49,3.49
531,1.36,3.56
532,1.27,3.57
533,1.45,3.55
534,1.075,3.575
535,1.315,3.565
536,1.075,3.7
537,1.315,3.64
538,1.535,3.335
539,1.44,3.54
540,1.37,3.57
541,1.16,3.585
542,1.28,3.58
543,1.135,3.56
544,1.225,3.625
545,1.375,3.5
546,1.025,3.65
547,1.09,3.54
548,1.27,3.47
549,1.005,3.58
550,1.075,3.55
551,1.275,3.55
552,1.565,3.465
553,1.18,3.53
554,0.995,3.67
555,1.55,3.4
