,NeuralAgent_AlwaysDefectAgent_rng,AlwaysDefectAgent
502,1.0,1.0
503,0.99,1.04
504,0.98,1.08
505,0.99,1.04
506,0.99,1.04
507,1.0,1.0
508,0.985,1.06
509,1.0,1.0
510,0.995,1.02
511,1.0,1.0
512,0.995,1.02
513,0.98,1.08
514,0.99,1.04
515,0.995,1.02
516,0.98,1.08
517,1.0,1.0
518,0.995,1.02
519,0.99,1.04
520,0.985,1.06
521,0.995,1.02
522,1.0,1.0
523,0.995,1.02
524,0.995,1.02
525,0.995,1.02
526,0.995,1.02
527,0.995,1.02
528,0.975,1.1
529,0.99,1.04
530,0.99,1.04
531,0.995,1.02
532,0.98,1.08
533,0.985,1.06
534,0.995,1.02
535,0.995,1.02
536,0.99,1.04
537,0.995,1.02
538,0.995,1.02
539,0.995,1.02
540,1.0,1.0
541,0.99,1.04
542,1.0,1.0
543,0.99,1.04
544,0.975,1.1
545,0.98,1.08
546,0.995,1.02
547,1.0,1.0
548,0.995,1.02
549,0.99,1.04
550,0.995,1.02
551,1.0,1.0
552,0.99,1.04
553,0.99,1.04
554,1.0,1.0
555,0.98,1.08
556,0.98,1.08
557,1.0,1.0
558,0.995,1.02
559,1.0,1.0
560,0.995,1.02
561,0.995,1.02
562,0.99,1.04
563,0.985,1.06
564,1.0,1.0
565,0.98,1.08
566,0.995,1.02
567,0.995,1.02
568,0.995,1.02
569,0.995,1.02
570,1.0,1.0
571,1.0,1.0
572,0.995,1.02
573,0.98,1.08
574,0.985,1.06
575,0.995,1.02
576,0.995,1.02
577,1.0,1.0
578,0.995,1.02
579,0.99,1.04
580,0.995,1.02
581,0.99,1.04
582,1.0,1.0
583,0.995,1.02
584,0.99,1.04
585,0.99,1.04
586,0.995,1.02
587,1.0,1.0
588,0.995,1.02
589,1.0,1.0
590,0.995,1.02
591,0.99,1.04
592,1.0,1.0
593,0.995,1.02
594,0.995,1.02
595,1.0,1.0
596,0.995,1.02
597,0.995,1.02
598,0.995,1.02
599,0.995,1.02
600,0.985,1.06
601,0.995,1.02
602,0.99,1.04
603,0.98,1.08
604,0.99,1.04
605,0.985,1.06
606,0.99,1.04
607,0.995,1.02
608,1.0,1.0
609,0.995,1.02
610,0.99,1.04
611,1.0,1.0
612,0.995,1.02
613,0.985,1.06
614,0.995,1.02
615,1.0,1.0
616,1.0,1.0
617,0.995,1.02
618,1.0,1.0
619,0.985,1.06
620,0.995,1.02
621,1.0,1.0
622,0.995,1.02
623,0.98,1.08
624,0.995,1.02
625,1.0,1.0
626,1.0,1.0
627,0.995,1.02
628,1.0,1.0
629,0.995,1.02
630,0.995,1.02
631,0.99,1.04
632,0.99,1.04
633,1.0,1.0
634,0.995,1.02
635,0.995,1.02
636,0.995,1.02
637,0.995,1.02
638,1.0,1.0
639,1.0,1.0
640,0.985,1.06
641,0.995,1.02
642,0.995,1.02
643,1.0,1.0
644,0.995,1.02
645,1.0,1.0
646,1.0,1.0
647,1.0,1.0
648,0.99,1.04
649,1.0,1.0
650,0.99,1.04
651,1.0,1.0
652,0.995,1.02
653,0.995,1.02
654,0.99,1.04
655,1.0,1.0
656,1.0,1.0
657,1.0,1.0
658,0.995,1.02
659,0.99,1.04
660,0.995,1.02
661,0.995,1.02
662,0.995,1.02
663,0.995,1.02
664,1.0,1.0
665,0.995,1.02
666,0.995,1.02
667,1.0,1.0
668,1.0,1.0
669,0.995,1.02
670,0.99,1.04
671,0.995,1.02
672,1.0,1.0
673,0.99,1.04
674,0.995,1.02
675,0.99,1.04
676,0.995,1.02
677,1.0,1.0
678,0.99,1.04
679,0.995,1.02
680,1.0,1.0
681,0.995,1.02
682,0.99,1.04
683,1.0,1.0
684,1.0,1.0
685,0.99,1.04
686,0.99,1.04
687,0.98,1.08
688,1.0,1.0
689,0.99,1.04
690,1.0,1.0
691,1.0,1.0
692,1.0,1.0
693,0.99,1.04
694,0.99,1.04
695,0.995,1.02
696,1.0,1.0
697,1.0,1.0
698,1.0,1.0
699,1.0,1.0
700,0.99,1.04
701,0.99,1.04
702,1.0,1.0
703,1.0,1.0
704,1.0,1.0
705,1.0,1.0
706,0.995,1.02
707,1.0,1.0
708,1.0,1.0
709,0.995,1.02
710,0.995,1.02
711,0.99,1.04
712,1.0,1.0
713,1.0,1.0
714,0.99,1.04
715,1.0,1.0
716,1.0,1.0
717,1.0,1.0
718,1.0,1.0
719,1.0,1.0
720,0.995,1.02
721,1.0,1.0
722,1.0,1.0
723,1.0,1.0
724,1.0,1.0
725,1.0,1.0
726,1.0,1.0
727,1.0,1.0
728,0.995,1.02
729,0.995,1.02
730,0.995,1.02
731,1.0,1.0
732,0.995,1.02
733,0.995,1.02
734,1.0,1.0
735,1.0,1.0
736,1.0,1.0
737,1.0,1.0
738,1.0,1.0
739,0.995,1.02
740,1.0,1.0
741,1.0,1.0
742,0.99,1.04
743,0.995,1.02
744,0.995,1.02
745,1.0,1.0
746,1.0,1.0
747,0.99,1.04
748,0.995,1.02
749,1.0,1.0
750,1.0,1.0
751,1.0,1.0
752,0.995,1.02
753,1.0,1.0
754,0.995,1.02
755,1.0,1.0
756,0.995,1.02
757,1.0,1.0
758,0.995,1.02
759,1.0,1.0
760,1.0,1.0
761,0.995,1.02
762,1.0,1.0
763,1.0,1.0
764,1.0,1.0
765,0.995,1.02
766,0.995,1.02
767,1.0,1.0
768,1.0,1.0
769,0.995,1.02
770,0.995,1.02
771,1.0,1.0
772,1.0,1.0
773,1.0,1.0
774,0.995,1.02
775,0.995,1.02
776,0.995,1.02
777,0.995,1.02
778,0.995,1.02
779,0.995,1.02
780,0.995,1.02
781,1.0,1.0
782,1.0,1.0
783,1.0,1.0
784,1.0,1.0
785,1.0,1.0
786,0.995,1.02
787,1.0,1.0
788,1.0,1.0
789,0.99,1.04
790,1.0,1.0
791,1.0,1.0
