,NeuralAgent_BattleRoyal_rng,AlwaysDefectAgent,RandomChoiceAgent,Student13_200aAgent,Student13_200bAgent,Student13_200cAgent,Student13_200mAgent,Student16_200bAgent,Student16_200cAgent,Student17_200aAgent,Student17_200bAgent,Student17_200mAgent,Student19_200aAgent,Student19_200bAgent,Student19_200cAgent,Student19_200mAgent,Student1_200aAgent,Student1_200bAgent,Student1_200cAgent,Student1_200mAgent,Student21_200aAgent,Student21_200cAgent,Student22_200mAgent,Student23_200mAgent,Student24_200bAgent,Student24_200cAgent,Student24_200mAgent,Student26_200bAgent,Student26_200cAgent,Student26_200mAgent,Student2_200aAgent,Student2_200cAgent,TitF2tatAgent,TitFTatAgent
10,1.7331818181818182,2.2086363636363635,1.6690909090909092,1.6325757575757576,1.8066666666666666,2.187121212121212,2.014090909090909,1.8637878787878788,1.8383333333333334,2.07,2.0395454545454546,2.195909090909091,1.8209090909090908,1.7230303030303031,1.562878787878788,1.6257575757575757,2.196969696969697,1.8542424242424242,1.8386363636363636,1.874090909090909,2.2016666666666667,1.9427272727272726,1.957121212121212,1.715,2.1983333333333333,2.1995454545454547,1.627878787878788,1.9483333333333333,1.9684848484848485,1.9978787878787878,0.017727272727272727,1.6122727272727273,1.9465151515151515,2.01530303030303
11,1.6822727272727274,2.2722727272727274,1.710909090909091,1.6856060606060606,1.882121212121212,2.2456060606060606,2.038939393939394,1.75,1.8406060606060606,2.0737878787878787,2.0739393939393937,2.229242424242424,1.8093939393939393,1.7116666666666667,1.5662121212121212,1.6157575757575757,2.206212121212121,1.8727272727272728,1.8145454545454545,1.8716666666666666,2.173787878787879,1.9272727272727272,1.951969696969697,1.716060606060606,2.189848484848485,2.194090909090909,1.6301515151515151,1.9456060606060606,1.9733333333333334,1.983939393939394,0.018333333333333333,1.6090909090909091,1.9487878787878787,2.020909090909091
12,1.790151515151515,2.2595454545454547,1.7615151515151515,1.7072727272727273,1.8406060606060606,2.242121212121212,2.036060606060606,1.7372727272727273,1.8345454545454545,2.0634848484848485,2.0745454545454547,2.2195454545454547,1.8177272727272726,1.7107575757575757,1.560151515151515,1.615,2.1996969696969697,1.8654545454545455,1.8096969696969698,1.8392424242424243,2.1837878787878786,1.9386363636363637,1.9506060606060607,1.7104545454545454,2.209848484848485,2.21469696969697,1.6396969696969697,1.9412121212121212,1.9721212121212122,1.9878787878787878,0.017727272727272727,1.605909090909091,1.9456060606060606,2.0206060606060605
13,1.638939393939394,2.205,1.6968181818181818,1.613939393939394,1.8286363636363636,2.168787878787879,2.0112121212121212,1.858030303030303,1.841060606060606,2.0759090909090907,2.0643939393939394,2.2153030303030303,1.8515151515151516,1.7095454545454545,1.5571212121212121,1.6134848484848485,2.1966666666666668,1.8733333333333333,1.829090909090909,1.867878787878788,2.1945454545454544,1.9403030303030302,1.9446969696969696,1.7066666666666668,2.201969696969697,2.1789393939393937,1.636969696969697,1.947121212121212,1.966969696969697,1.9862121212121213,0.018333333333333333,1.6181818181818182,1.9463636363636363,2.0134848484848487
14,1.7065151515151515,2.148030303030303,1.7066666666666668,1.6653030303030303,1.9213636363636364,2.235606060606061,1.9786363636363635,1.6309090909090909,1.7745454545454546,1.9333333333333333,1.9439393939393939,2.2086363636363635,1.8463636363636364,1.7059090909090908,1.5587878787878788,1.6146969696969697,2.19,1.8687878787878789,1.8275757575757576,1.846969696969697,2.182272727272727,1.9166666666666667,1.947121212121212,1.6968181818181818,2.1995454545454547,2.1965151515151513,1.631969696969697,1.9434848484848486,1.968939393939394,1.9806060606060607,0.018333333333333333,1.6136363636363635,1.9395454545454545,2.0157575757575756
15,1.733030303030303,2.208030303030303,1.637878787878788,1.5854545454545454,1.778030303030303,2.1574242424242422,1.9412121212121212,1.7574242424242423,1.781969696969697,1.9557575757575758,1.9439393939393939,2.1995454545454547,1.801969696969697,1.6934848484848486,1.5598484848484848,1.616969696969697,2.1989393939393937,1.867878787878788,1.820151515151515,1.8675757575757577,2.209848484848485,1.9243939393939393,1.9404545454545454,1.7068181818181818,2.2007575757575757,2.1983333333333333,1.6337878787878788,1.9404545454545454,1.9595454545454545,1.9783333333333333,0.018333333333333333,1.615,1.9446969696969696,2.0177272727272726
16,1.7825757575757575,2.1983333333333333,1.7092424242424242,1.6013636363636363,1.760909090909091,2.1515151515151514,1.9437878787878788,1.7475757575757576,1.771969696969697,1.9495454545454545,1.946969696969697,2.2007575757575757,1.846969696969697,1.7187878787878788,1.5546969696969697,1.606818181818182,2.1951515151515153,1.8681818181818182,1.7778787878787878,1.8775757575757577,2.192878787878788,1.927878787878788,1.9443939393939393,1.6907575757575757,2.1789393939393937,2.1989393939393937,1.628787878787879,1.9395454545454545,1.967121212121212,1.9798484848484847,0.01893939393939394,1.6004545454545454,1.943030303030303,2.0107575757575757
17,1.7581818181818183,2.2171212121212123,1.67,1.5945454545454545,1.7840909090909092,2.1666666666666665,1.936060606060606,1.759090909090909,1.7642424242424242,1.9459090909090908,1.9263636363636363,2.201363636363636,1.8448484848484847,1.6984848484848485,1.5531818181818182,1.6083333333333334,2.187878787878788,1.8703030303030304,1.8004545454545455,1.8706060606060606,2.18,1.9228787878787879,1.9436363636363636,1.6912121212121212,2.19469696969697,2.203181818181818,1.6306060606060606,1.9306060606060607,1.9631818181818181,1.9754545454545454,0.017727272727272727,1.6122727272727273,1.9406060606060607,2.0062121212121213
18,1.6718181818181819,2.0674242424242424,1.6142424242424243,1.6086363636363636,1.856969696969697,2.1533333333333333,1.9375757575757575,1.7545454545454546,1.7645454545454546,1.9415151515151514,1.9316666666666666,2.1783333333333332,1.7986363636363636,1.6918181818181819,1.5540909090909092,1.614090909090909,2.1713636363636364,1.8703030303030304,1.8113636363636363,1.8596969696969696,2.1637878787878786,1.9127272727272728,1.9383333333333332,1.6927272727272726,2.1989393939393937,2.188030303030303,1.627878787878788,1.9337878787878788,1.958939393939394,1.969090909090909,0.018333333333333333,1.6077272727272727,1.9342424242424243,2.0086363636363638
19,1.6674242424242425,2.163181818181818,1.6854545454545455,1.5913636363636363,1.8425757575757575,2.1715151515151514,2.00469696969697,1.8574242424242424,1.8227272727272728,2.0727272727272728,2.059848484848485,2.2037878787878786,1.8431818181818183,1.7066666666666668,1.551060606060606,1.6037878787878788,2.1856060606060606,1.8806060606060606,1.8,1.8646969696969697,2.1818181818181817,1.9353030303030303,1.9415151515151514,1.6874242424242425,2.191666666666667,2.206212121212121,1.6374242424242424,1.936969696969697,1.9522727272727274,1.9748484848484849,0.017727272727272727,1.61,1.9390909090909092,2.012121212121212
