,NeuralAgentOpMe_Student13_200mAgent_rng,Student13_200mAgent
586,1.1,0.975
587,1.1,0.975
588,1.1,0.975
589,1.1,0.975
590,1.1,0.975
591,1.1,0.975
592,1.1,0.975
593,1.1,0.975
594,1.1,0.975
595,1.1,0.975
596,1.1,0.975
597,1.1,0.975
598,1.1,0.975
599,1.1,0.975
600,1.1,0.975
601,1.1,0.975
602,1.09,0.99
603,1.1,0.975
604,1.1,0.975
605,1.1,0.975
606,1.1,0.975
607,1.1,0.975
608,1.1,0.975
609,1.1,0.975
610,1.1,0.975
611,1.1,0.975
612,1.1,0.975
613,1.1,0.975
614,1.1,0.975
615,1.1,0.975
616,1.1,0.975
617,1.1,0.975
618,1.1,0.975
619,1.1,0.975
620,1.1,0.975
621,1.1,0.975
622,1.1,0.975
623,1.1,0.975
624,1.1,0.975
625,1.1,0.975
626,1.1,0.975
627,1.1,0.975
628,1.1,0.975
629,1.1,0.975
630,1.1,0.975
631,1.1,0.975
632,1.1,0.975
633,1.1,0.975
634,1.1,0.975
635,1.1,0.975
636,1.1,0.975
637,1.1,0.975
638,1.1,0.975
639,1.1,0.975
640,1.1,0.975
641,1.1,0.975
642,1.1,0.975
643,1.1,0.975
644,1.1,0.975
645,1.1,0.975
646,1.1,0.975
647,1.1,0.975
648,1.1,0.975
649,1.1,0.975
650,1.1,0.975
651,1.1,0.975
652,1.1,0.975
653,1.1,0.975
654,1.1,0.975
655,1.1,0.975
656,1.1,0.975
657,1.1,0.975
658,1.1,0.975
659,1.1,0.975
660,1.1,0.975
661,1.1,0.975
662,1.1,0.975
663,1.1,0.975
664,1.1,0.975
665,1.1,0.975
666,1.1,0.975
667,1.1,0.975
668,1.1,0.975
669,1.1,0.975
670,1.1,0.975
671,1.1,0.975
672,1.1,0.975
673,1.1,0.975
674,1.1,0.975
675,1.1,0.975
676,1.1,0.975
677,1.1,0.975
678,1.1,0.975
679,1.1,0.975
680,1.1,0.975
681,1.1,0.975
682,1.1,0.975
683,1.1,0.975
684,1.1,0.975
685,1.1,0.975
686,1.1,0.975
687,1.1,0.975
688,1.1,0.975
689,1.1,0.975
690,1.1,0.975
691,1.1,0.975
692,1.1,0.975
693,1.1,0.975
694,1.1,0.975
695,1.1,0.975
696,1.1,0.975
697,1.1,0.975
698,1.1,0.975
699,1.1,0.975
700,1.1,0.975
701,1.1,0.975
702,1.1,0.975
703,1.1,0.975
704,1.1,0.975
705,1.1,0.975
706,1.1,0.975
707,1.1,0.975
708,1.1,0.975
709,1.1,0.975
710,1.1,0.975
711,1.1,0.975
712,1.1,0.975
713,1.1,0.975
714,1.1,0.975
715,1.1,0.975
716,1.1,0.975
717,1.1,0.975
718,1.1,0.975
719,1.1,0.975
720,1.1,0.975
721,1.1,0.975
722,1.1,0.975
723,1.1,0.975
724,1.1,0.975
725,1.1,0.975
726,1.1,0.975
727,1.1,0.975
728,1.1,0.975
729,1.1,0.975
730,1.1,0.975
731,1.09,0.99
732,1.1,0.975
733,1.1,0.975
734,1.1,0.975
735,1.1,0.975
736,1.1,0.975
737,1.1,0.975
738,1.1,0.975
739,1.1,0.975
740,1.1,0.975
741,1.1,0.975
742,1.1,0.975
743,1.1,0.975
744,1.1,0.975
745,1.1,0.975
746,1.1,0.975
747,1.1,0.975
748,1.1,0.975
749,1.1,0.975
750,1.1,0.975
751,1.1,0.975
752,1.1,0.975
753,1.1,0.975
754,1.1,0.975
755,1.1,0.975
756,1.1,0.975
757,1.1,0.975
758,1.1,0.975
759,1.1,0.975
760,1.1,0.975
761,1.1,0.975
762,1.1,0.975
763,1.1,0.975
764,1.1,0.975
765,1.1,0.975
766,1.1,0.975
767,1.1,0.975
768,1.09,0.99
769,1.1,0.975
770,1.1,0.975
771,1.1,0.975
772,1.1,0.975
773,1.1,0.975
774,1.1,0.975
775,1.1,0.975
776,1.1,0.975
777,1.1,0.975
778,1.1,0.975
779,1.1,0.975
780,1.1,0.975
781,1.1,0.975
782,1.1,0.975
783,1.1,0.975
784,1.1,0.975
785,1.1,0.975
786,1.1,0.975
787,1.1,0.975
788,1.1,0.975
789,1.1,0.975
790,1.1,0.975
791,1.1,0.975
792,1.1,0.975
793,1.1,0.975
794,1.1,0.975
795,1.1,0.975
796,1.1,0.975
797,1.1,0.975
798,1.1,0.975
799,1.1,0.975
800,1.1,0.975
801,1.1,0.975
802,1.1,0.975
