,NeuralAgent_BattleRoyal,AlwaysDefectAgent,RandomChoiceAgent,Student10_200mAgent,Student11_200mAgent,Student13_200aAgent,Student13_200bAgent,Student13_200cAgent,Student13_200mAgent,Student16_200bAgent,Student16_200cAgent,Student17_200aAgent,Student17_200bAgent,Student17_200mAgent,Student19_200aAgent,Student19_200bAgent,Student19_200cAgent,Student19_200mAgent,Student1_200aAgent,Student1_200bAgent,Student1_200cAgent,Student1_200mAgent,Student21_200aAgent,Student21_200cAgent,Student22_200mAgent,Student23_200mAgent,Student24_200bAgent,Student24_200cAgent,Student24_200mAgent,Student26_200bAgent,Student26_200cAgent,Student26_200mAgent,Student2_200aAgent,Student2_200cAgent,Student3_200aAgent,Student3_200bAgent,Student4_200aAgent,Student5_200aAgent,Student5_200bAgent,Student5_200cAgent,Student5_200mAgent,Student7_200aAgent,Student7_200bAgent,Student7_200mAgent,TitF2tatAgent,TitFTatAgent
10,2.063,2.060111111111111,1.6952222222222222,1.8427777777777778,1.9016666666666666,1.6631111111111112,1.8033333333333332,2.027111111111111,2.031,1.8473333333333333,1.768,1.8845555555555555,1.8964444444444444,2.0692222222222223,1.9175555555555555,1.6632222222222222,1.6096666666666666,1.6075555555555556,2.032888888888889,1.826,1.9435555555555555,1.8251111111111111,2.0874444444444444,1.8582222222222222,2.0687777777777776,1.8524444444444443,2.0575555555555556,2.0566666666666666,1.699111111111111,2.0652222222222223,2.113777777777778,2.058666666666667,2.1478888888888887,0.04633333333333333,0.5707777777777778,2.062666666666667,1.5954444444444444,1.7393333333333334,1.6866666666666668,2.105,1.7153333333333334,2.0086666666666666,2.093111111111111,2.119,2.0154444444444444,2.1365555555555558
11,2.0564444444444443,2.059888888888889,1.713111111111111,1.8517777777777777,1.9092222222222222,1.657,1.7945555555555555,2.007,2.026,1.8527777777777779,1.7942222222222222,1.8752222222222221,1.8946666666666667,2.0596666666666668,1.9223333333333332,1.6608888888888889,1.6002222222222222,1.6077777777777778,2.1864444444444446,1.833888888888889,1.8848888888888888,1.8368888888888888,2.0933333333333333,1.859,2.0704444444444445,1.8534444444444444,2.0645555555555557,2.0621111111111112,1.7114444444444445,2.0772222222222223,2.1075555555555554,2.063888888888889,2.1443333333333334,0.04633333333333333,0.5595555555555556,2.063,1.61,1.7405555555555556,1.6212222222222221,2.0914444444444444,1.6596666666666666,2.0505555555555555,2.1702222222222223,2.1865555555555556,2.0114444444444444,2.127666666666667
12,2.0315555555555553,2.0234444444444444,1.7164444444444444,1.8532222222222223,1.8997777777777778,1.6516666666666666,1.8174444444444444,2.005777777777778,2.0255555555555556,1.849,1.7795555555555556,1.8805555555555555,1.880111111111111,2.0556666666666668,1.9176666666666666,1.6393333333333333,1.6096666666666666,1.6022222222222222,2.0277777777777777,1.842,1.904111111111111,1.842111111111111,2.089777777777778,1.8608888888888888,2.0704444444444445,1.8564444444444443,2.0575555555555556,2.0557777777777777,1.7037777777777778,2.063111111111111,2.1061111111111113,2.0614444444444446,2.143111111111111,0.04566666666666667,0.5556666666666666,2.053777777777778,1.5715555555555556,1.7327777777777778,1.6305555555555555,2.0972222222222223,1.6936666666666667,2.0076666666666667,2.147666666666667,2.1212222222222223,2.0126666666666666,2.1224444444444446
13,2.0974444444444442,2.053888888888889,1.736888888888889,1.8414444444444444,1.8964444444444444,1.6411111111111112,1.7973333333333332,2.0236666666666667,2.030666666666667,1.8504444444444443,1.7524444444444445,1.8905555555555555,1.907,2.0513333333333335,1.9165555555555556,1.65,1.614111111111111,1.6084444444444443,2.0237777777777777,1.8312222222222223,1.9085555555555556,1.8347777777777778,2.0878888888888887,1.8306666666666667,2.073,1.8522222222222222,2.068888888888889,2.0525555555555557,1.7067777777777777,2.0695555555555556,2.1061111111111113,2.0588888888888888,2.2306666666666666,0.047,0.5372222222222223,2.0555555555555554,1.5825555555555555,1.7293333333333334,1.6076666666666666,2.0975555555555556,1.696888888888889,2.005,2.141111111111111,2.128111111111111,1.9975555555555555,2.1206666666666667
14,2.1126666666666667,2.0621111111111112,1.7156666666666667,1.7861111111111112,1.9,1.6637777777777778,1.7785555555555554,1.9961111111111112,2.03,1.8577777777777778,1.7892222222222223,1.8905555555555555,1.8914444444444445,2.051111111111111,1.9217777777777778,1.6542222222222223,1.5971111111111111,1.608,2.141,1.8387777777777778,1.8983333333333334,1.8346666666666667,2.0905555555555555,1.853888888888889,2.0643333333333334,1.85,2.063222222222222,2.063111111111111,1.7057777777777778,2.0625555555555555,2.1135555555555556,2.053888888888889,2.1535555555555557,0.04666666666666667,0.5727777777777778,2.0675555555555554,1.5856666666666666,1.7463333333333333,1.6372222222222221,2.1457777777777776,1.6976666666666667,2.012888888888889,2.1693333333333333,2.162777777777778,2.0268888888888887,2.1285555555555558
15,2.0313333333333334,2.0646666666666667,1.7283333333333333,1.849888888888889,1.8964444444444444,1.65,1.8037777777777777,2.0034444444444444,2.031888888888889,1.8533333333333333,1.7573333333333334,1.8727777777777779,1.8975555555555557,2.0588888888888888,1.9244444444444444,1.6487777777777777,1.61,1.6054444444444445,2.0514444444444444,1.8323333333333334,1.8763333333333334,1.8431111111111111,2.0914444444444444,1.8545555555555555,2.0655555555555556,1.8526666666666667,2.055222222222222,2.067222222222222,1.7017777777777778,2.061888888888889,2.109888888888889,2.0576666666666665,2.148888888888889,0.04533333333333334,0.5725555555555556,2.0593333333333335,1.5834444444444444,1.7324444444444445,1.6371111111111112,2.0946666666666665,1.7182222222222223,2.0084444444444443,2.1425555555555555,2.123222222222222,2.0126666666666666,2.1277777777777778
16,2.1135555555555556,2.063222222222222,1.630111111111111,1.8653333333333333,1.8997777777777778,1.6562222222222223,1.7983333333333333,2.0172222222222222,2.027111111111111,1.8565555555555555,1.8084444444444445,1.8751111111111112,1.8956666666666666,2.0554444444444444,1.8888888888888888,1.666111111111111,1.597888888888889,1.606111111111111,2.065,1.8403333333333334,1.9036666666666666,1.8315555555555556,2.0772222222222223,1.8414444444444444,2.0723333333333334,1.8516666666666666,2.051111111111111,2.0484444444444443,1.7054444444444445,2.069111111111111,2.107222222222222,2.0574444444444446,2.1414444444444443,0.04633333333333333,0.578,2.077,1.5973333333333333,1.7356666666666667,1.6437777777777778,2.0901111111111113,1.7085555555555556,2.0077777777777777,2.1532222222222224,2.1212222222222223,2.0115555555555558,2.1246666666666667
17,2.0935555555555556,2.059888888888889,1.7081111111111111,1.8625555555555555,1.8927777777777777,1.6628888888888889,1.7866666666666666,2.019,2.0286666666666666,1.845,1.7877777777777777,1.8816666666666666,1.896111111111111,2.0683333333333334,1.924111111111111,1.6652222222222222,1.5994444444444444,1.6014444444444444,2.065,1.831888888888889,1.9274444444444445,1.8377777777777777,2.086888888888889,1.8313333333333333,2.0685555555555557,1.8482222222222222,2.0645555555555557,2.0548888888888888,1.7074444444444445,2.061,2.112222222222222,2.0604444444444443,2.2292222222222224,0.04566666666666667,0.5598888888888889,2.0595555555555554,1.5788888888888888,1.7378888888888888,1.6302222222222222,2.099222222222222,1.7236666666666667,2.0065555555555554,2.116888888888889,2.127,2.0162222222222224,2.1335555555555556
18,2.050333333333333,2.0654444444444446,1.6715555555555555,1.8404444444444445,1.8982222222222223,1.6483333333333334,1.8213333333333332,2.0197777777777777,2.029,1.849,1.7621111111111112,1.8836666666666666,1.8851111111111112,2.056111111111111,1.9168888888888889,1.6577777777777778,1.6073333333333333,1.5993333333333333,2.0845555555555557,1.8327777777777778,1.8797777777777778,1.8334444444444444,2.082888888888889,1.8631111111111112,2.0734444444444446,1.8567777777777779,2.0566666666666666,2.0585555555555555,1.7021111111111111,2.079111111111111,2.110777777777778,2.055111111111111,2.1363333333333334,0.04633333333333333,0.5682222222222222,2.0615555555555556,1.565,1.7381111111111112,1.6614444444444445,2.0965555555555557,1.7072222222222222,2.015,2.1784444444444446,2.1643333333333334,2.010111111111111,2.1176666666666666
19,2.057777777777778,2.0603333333333333,1.732888888888889,1.862111111111111,1.9016666666666666,1.6572222222222222,1.8098888888888889,2.0148888888888887,2.0268888888888887,1.857,1.7978888888888889,1.8796666666666666,1.906,2.0725555555555557,1.925888888888889,1.6491111111111112,1.5988888888888888,1.6047777777777779,2.2248888888888887,1.842111111111111,1.9473333333333334,1.8308888888888888,2.100888888888889,1.852111111111111,2.0716666666666668,1.8557777777777777,2.0606666666666666,2.047888888888889,1.707111111111111,2.063222222222222,2.1083333333333334,2.056888888888889,2.138888888888889,0.04666666666666667,0.563,2.0588888888888888,1.5627777777777778,1.7426666666666666,1.6333333333333333,2.1464444444444446,1.707111111111111,2.0525555555555557,2.141888888888889,2.1664444444444446,2.002222222222222,2.1327777777777777
